Category,Message
spam,Earn money online fast! No skills needed! http://quickcash.com
ham,"Hey, are we still on for tonight?"
spam,Your Netflix account is locked! Verify now: http://netflix-verify.com
ham,Your subscription has been renewed successfully.
spam,Recieve FREE gift card! Sign up: http://freetreats.net
ham,Great job on the project! Let’s discuss the next steps.
ham,Your subscription has been renewed successfully.
spam,Recieve FREE gift card! Sign up: http://freetreats.net
ham,Let’s grab coffee next week.
ham,Reminder: Doctor’s appointment at 4 PM.
spam,CLAIM YOUR $1000 NOW! Click here: http://bit.ly/winbig
ham,Dad’s birthday is coming up. Any gift ideas?
ham,Lunch at our usual spot?
ham,Meeting rescheduled to 2 PM. Let me know if that works.
spam,Your invoice #INV789: http://track-order.com
ham,Invoice #4523 is attached. Let me know if you have questions.
ham,Your subscription has been renewed successfully.
ham,Reminder: Doctor’s appointment at 4 PM.
spam,Recieve FREE gift card! Sign up: http://freetreats.net
ham,Dad’s birthday is coming up. Any gift ideas?
ham,Reminder: Doctor’s appointment at 4 PM.
spam,Hot singles in your area! Chat now: http://findlove.com
ham,Mom said to call her when you’re free.
ham,Let’s grab coffee next week.
spam,Your Netflix account is locked! Verify now: http://netflix-verify.com
ham,Flight is delayed by an hour. Keep me updated.
ham,Can you email me the latest report?
spam,CLAIM YOUR $1000 NOW! Click here: http://bit.ly/winbig
ham,The client presentation is tomorrow. Be prepared!
spam,"V1AGRA, C1ALIS for 80% OFF! Limited time deal: http://cheapmeds.com"
spam,Recieve FREE gift card! Sign up: http://freetreats.net
ham,Reminder: Doctor’s appointment at 4 PM.
spam,Earn money online fast! No skills needed! http://quickcash.com
spam,Earn money online fast! No skills needed! http://quickcash.com
ham,Let’s grab coffee next week.
spam,Congratulations! You've been selected for an exclusive deal!
spam,Recieve FREE gift card! Sign up: http://freetreats.net
spam,Your package delivery failed! Reschedule here: http://delivery-alert.com
ham,Flight is delayed by an hour. Keep me updated.
spam,Earn money online fast! No skills needed! http://quickcash.com
ham,Invoice #4523 is attached. Let me know if you have questions.
spam,CLAIM YOUR $1000 NOW! Click here: http://bit.ly/winbig
spam,Your Netflix account is locked! Verify now: http://netflix-verify.com
spam,Work from home & earn $5000/week! No experience needed!
ham,Mom said to call her when you’re free.
spam,Work from home & earn $5000/week! No experience needed!
ham,Let’s grab coffee next week.
spam,CLAIM YOUR $1000 NOW! Click here: http://bit.ly/winbig
spam,CLAIM YOUR $1000 NOW! Click here: http://bit.ly/winbig
spam,Your refund is available! Claim now: http://tax-return.com
ham,Invoice #4523 is attached. Let me know if you have questions.
spam,Recieve FREE gift card! Sign up: http://freetreats.net
ham,Mom said to call her when you’re free.
ham,The client presentation is tomorrow. Be prepared!
ham,Reminder: Doctor’s appointment at 4 PM.
spam,Your Netflix account is locked! Verify now: http://netflix-verify.com
spam,Work from home & earn $5000/week! No experience needed!
ham,Great job on the project! Let’s discuss the next steps.
spam,CLAIM YOUR $1000 NOW! Click here: http://bit.ly/winbig
spam,Work from home & earn $5000/week! No experience needed!
ham,Great job on the project! Let’s discuss the next steps.
spam,"V1AGRA, C1ALIS for 80% OFF! Limited time deal: http://cheapmeds.com"
spam,Your refund is available! Claim now: http://tax-return.com
spam,Your package delivery failed! Reschedule here: http://delivery-alert.com
ham,Mom said to call her when you’re free.
ham,Meeting rescheduled to 2 PM. Let me know if that works.
spam,Your invoice #INV789: http://track-order.com
ham,Great job on the project! Let’s discuss the next steps.
spam,Recieve FREE gift card! Sign up: http://freetreats.net
ham,"Hey, are we still on for tonight?"
ham,"Hey, are we still on for tonight?"
ham,The client presentation is tomorrow. Be prepared!
ham,Meeting rescheduled to 2 PM. Let me know if that works.
ham,Reminder: Doctor’s appointment at 4 PM.
ham,Dad’s birthday is coming up. Any gift ideas?
spam,¡Gana $1000 ahora! Haz clic aquí: http://ganadinero.com
ham,Reminder: Doctor’s appointment at 4 PM.
ham,Can you email me the latest report?
spam,Recieve FREE gift card! Sign up: http://freetreats.net
ham,Invoice #4523 is attached. Let me know if you have questions.
spam,¡Gana $1000 ahora! Haz clic aquí: http://ganadinero.com
ham,Mom said to call her when you’re free.
spam,Your invoice #INV789: http://track-order.com
ham,Let’s grab coffee next week.
spam,Your invoice #INV789: http://track-order.com
spam,Work from home & earn $5000/week! No experience needed!
spam,Work from home & earn $5000/week! No experience needed!
ham,Lunch at our usual spot?
ham,Your subscription has been renewed successfully.
spam,Your package delivery failed! Reschedule here: http://delivery-alert.com
spam,Work from home & earn $5000/week! No experience needed!
ham,"Hey, are we still on for tonight?"
spam,Your invoice #INV789: http://track-order.com
ham,Invoice #4523 is attached. Let me know if you have questions.
ham,Great job on the project! Let’s discuss the next steps.
spam,Your package delivery failed! Reschedule here: http://delivery-alert.com
spam,Your Netflix account is locked! Verify now: http://netflix-verify.com
spam,Congratulations! You've been selected for an exclusive deal!
ham,Your subscription has been renewed successfully.
ham,Lunch at our usual spot?
ham,Meeting rescheduled to 2 PM. Let me know if that works.
spam,Your Netflix account is locked! Verify now: http://netflix-verify.com
ham,Mom said to call her when you’re free.
ham,Flight is delayed by an hour. Keep me updated.
spam,CLAIM YOUR $1000 NOW! Click here: http://bit.ly/winbig
spam,Suspicious login detected! Secure your account: http://secureme.net
ham,Invoice #4523 is attached. Let me know if you have questions.
ham,"Hey, are we still on for tonight?"
ham,Great job on the project! Let’s discuss the next steps.
ham,Dad’s birthday is coming up. Any gift ideas?
spam,Earn money online fast! No skills needed! http://quickcash.com
ham,Lunch at our usual spot?
ham,Your subscription has been renewed successfully.
spam,Your refund is available! Claim now: http://tax-return.com
spam,CLAIM YOUR $1000 NOW! Click here: http://bit.ly/winbig
